OTU_id	lineage	BB04	BB05	BB06	BB07	BB08	BB09	BB10	CL01	CL03	CL04	CL05	CL06	CL07	CL08	CL09	CL10	CL11	CL12	CL13	CL14	CL15	CL16	EC01	EC05	EC06	EC07	EC08	EC09	EC10	JC01	JC02	JC03	JC05	JC06	JC07	JC09	JC10	JC11	JC12	MF01	MF02	MF04	MF05	MF06	MF07	MF08	MF09	MF10	NF02	NF05	NF06	NF07	NF08	NF09	NF10	NF11	NF12	NF13	NF14	NF15	NF16
Cluster116476	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Chironomidae;g__Chironomus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1168817	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0
Cluster1183739	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae	0	0	0	0	0	0	0	0	842	481	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
Cluster1183836	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329	0	0	0	0	0	0	0	0	0	251	0	0	0	17	0	0	0	93	0	0	426	147	8	0	0	0	0	0	0	0
Cluster1185877	r__root;p__Arthropoda;c__Insecta;o__Diptera	877	0	12	39	57	785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7001	0	9	849	16	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0
Cluster1186330	r__root;p__Arthropoda;c__Arachnida;o__Araneae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1187172	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1189880	r__root;p__Arthropoda;c__Arachnida;o__Araneae;f__Araneidae;g__Eriophora	0	3623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1190248	r__root;p__Arthropoda;c__Insecta;o__Diptera	0	0	0	0	0	0	0	0	0	582	0	0	2375	0	7576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1191583	r__root;p__Arthropoda;c__Insecta;o__Lepidoptera	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster119182	r__root;p__Arthropoda;c__Insecta;o__Diptera;f__Stratiomyidae;g__Hermetia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1888	45	5100	0	0	0	0	0	5617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1197464	r__root;p__Arthropoda;c__Insecta	0	0	0	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
